Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Names_Extracted,Video_ID,Duration,Thumbnail_URL
Wywiadowcy Podcast,UChgp0bnprzgBQLWAc-PEgvg,2025-07-28,11:00,Prof. Włodzisław Duch o dyskusji dwóch botów #shorts,,"wywiadowcy podcast, wywiadowcy, na dachu, rozmowa, wywiad, nauka, kognitywista, filozof, informatyk, sztuczna inteligencja, AI, duch wywiadowcy, włodzisław duch rozmowa, włodzisław duch wywiad, duch rozmowa, włodzisław duch, duch wywiad, duch, lepsi ludzie, czat, chat gpt, naukowiec, profesor duch, dyskusja, bot, chatllm, ludzie, mózg, wszechświat, prawo, myślę więc jestem, egotyzm, inteligencja, punkt widzenia, świadomość, podrzędne istoty",shorts,5610,143,6,0,hd,true,True,28,Włodzisław Duch,HPL--CCN3XA,PT55S,https://i.ytimg.com/vi/HPL--CCN3XA/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,17:45,03 Dlaczego Hostel Jest Lepszy Od Hotelu? – ft. Piotr Pająk,"Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,1011,22,0,0,hd,false,True,27,"Lepszy Od Hotelu, Od Hotelu, Piotr Pająk, Jest Lepszy, Dlaczego Hostel Jest, Dlaczego Hostel",vtuaqUOhRTg,PT47S,https://i.ytimg.com/vi/vtuaqUOhRTg/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,17:15,"02 Błagałem, Żebym Przetrwał Do Rana – ft. Piotr Pająk","Całość rozmowy oglądaj tutaj: https://youtu.be/ApFFXJpBuZg
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #MMA",,shorts,2262,35,0,0,hd,false,True,27,"Żebym Przetrwał, Piotr Pająk, Żebym Przetrwał Do, Do Rana",WDu_TcHbIr4,PT50S,https://i.ytimg.com/vi/WDu_TcHbIr4/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,16:53,#476 Jak Rosjanie Reagują Na Polaków? Jak Naprawdę Wygląda Życie w Korei Północnej? - Piotr Pająk,"Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.

Współpraca: partner@pgpodcast.pl

Dodatkowe materiały znajdziesz tutaj: https://www.instagram.com/przemekgorczyk/

🎧 Słuchaj na Spotify: https://open.spotify.com/episode/6EQOmpUXavkC8AvmrwMCFf

Zapalony podróżnik, który na swojej liście ma już ponad 140 odwiedzonych krajów. Od 2019 r. prowadzi w serwisie YouTube kanał o nazwie ""Podróże Wojownika"". CEO Twins Real Estate Phuket – Polskiej Agencji Nieruchomości w Phuket.

Linki:
Instagram: https://www.instagram.com/podroze_wojownika_youtube
YouTube: https://www.youtube.com/channel/UCHkkUuVWTSwN82IHIhxq_jg
Facebook: https://www.facebook.com/podrozewojownika

—
Partnerem odcinka jest KikFit – profesjonalny catering dietetyczny.

Umów się na bezpłatną konsultację z dietetykiem https://calendly.com/kikfit/konsultacja lub zamawiaj bezpośrednio na https://kikfit.pl/.
---

Zostań subskrybentem newslettera Przemek Górczyk Podcast: https://pgpodcast.pl/news.

Przeczytasz w nim o kulisach prowadzenia podcastu i znajdziesz polecenia bardzo mocnych książek od moich gości.
---

Spis treści:
00:00:00 Dzisiaj w odcinku
00:06:20 Piotr Pająk
00:07:31 Pierwszy wyjazd do Tajlandii
00:11:41 Nadchodząca podróż po Stanach
00:13:51 Niefortunna podróż pociągiem
00:25:36 Izrael i Palestyna
00:38:19 Korea Północna dla turystów
00:51:09 Rosja
01:15:03 Latanie dronami
01:19:21 Co robić, gdy Cię zatrzymają?
01:28:27 Nepal i Himalaje
01:41:50 Osiąganie kolejnych celów
01:43:41 Finanse i dyscyplina youtubera
02:01:50 Piotr Pająk w Internecie

💽 Playlista kanału: https://www.youtube.com/playlist?list=PLIM2IXHjLzGMA1NjX1-_mizbkiNhaydHt

#475 Bartosz Majewski – biznesmen, marketing, b2b https://youtu.be/1jXPw93EDPE
#474 Szymon Negacz – biznesmen, b2b, marketing https://youtu.be/Yk-TSvQlwO0
#473 Mateusz Gola – pornografia, nałóg, uzależnienie https://youtu.be/BInZi2fXvx4
#472 Marek Zmysłowski – biznes, inwestycje, pieniądze https://youtu.be/82J9KLgmsY0
#471 Łukasz ""Małpa"" Małkiewicz – rap, uzależnienie, muzyka https://youtu.be/K-rxp_hHTMM
#470 Łukasz Bukowiecki – VFX, efekty wizualne, Hollywood https://youtu.be/yt-cjbtysvI
#469 prof. Marcin Majewski – biblia, teologia, starożytność https://youtu.be/2Q5C9Z1euXY
#468 Paweł Kozak – sportowiec, hyrox, triathlon https://youtu.be/lTK6JkrFnSk
#467 Robert Rutkowski – psycholog, nałogi, alkohol https://youtu.be/UMRsOSHcFPc
#466 Magdalena Socha – psycholog, narcyz, borderline https://youtu.be/ppOB_BkGN1I
#465 Franciszek B. Georgiew – sztuczna inteligencja, biznes https://youtu.be/OR0QVhEi0R4
#464 ppłk. Marcin Modrzewski – f16, lotnictwo, pilot https://youtu.be/RdCFqjHiUgI
#463 dr Filip Taterka – egipt, orient, piramidy https://youtu.be/7B7XOlAV0Xg
#462 ks. prof. Andrzej Kobyliński – pedofilia, papież, kościół https://youtu.be/VqmMHv7VxXQ
#461 prof. Wojciech Glac – mózg, neurobiologia, internet https://youtu.be/46BGAjptHro
#460 Piotr ""KęKę"" Siara – raper, muzyk, szczęście https://youtu.be/WAB2Qe-s1Y8
#459 Michał Trollsky – knifemaking, noże, knifemaker https://youtu.be/eRssbD9s_IY
#458 dr Tomasz Mazur – filozofia, przemijanie, emocje https://youtu.be/J1MVb-xwkUY
#457 Michał Pater – autostop, podróże, Kambodża https://youtu.be/G11ggAzEFsU
#456 Jakub Wiech – energetyka, gospodarka, energia, prąd https://youtu.be/HjyaPRaRHyk
#455 Kamil Zachert – Egipt, wykopaliska, podróże https://youtu.be/Ag9sclVxfpI
#454 Floral Bugs – raper, autor tekstów, odwyk https://youtu.be/CDsXoqyZZg8 
#453 prof. Katarzyna Pachniak – islam, muzułmanie, orient https://youtu.be/V82nQBa96aY
#452 Filip Kosior – aktor, lektor, audiobooki https://youtu.be/f-YqiwgQttI
#451 Monika Witkowska – wspinaczka, góry, podróże https://youtu.be/-uFFLqg9pg4
#450 Dawid Fazowski – podróżnik, youtuber, podróże na fazie https://youtu.be/1rL-8MydezU
#449 Piotr Mosak – psycholog, związki, zdrada, relacje https://youtu.be/50tZ7gvvXuA
#448 dr Agnieszka Kozak – psycholog, emocje, psychoterapia https://youtu.be/bxsZC3I5sqI
#447 prof. Piotr Dyczek – archeolog, wykopaliska, starożytność https://youtu.be/KFMo3nrYaR4
#446 Marcin Ziopaja – biznes, przedsiębiorca, budownictwo https://youtu.be/0sJ-Ads5X44

#podróże #biznes #youtuber","podróż do etiopii, najgorszy kraj na świecie, dziennik podróżnika, nieruchomości w Tajlandii, przewodnik po Tajlandii, sukces na YouTubie",long,2006,148,17,0,hd,false,True,27,"Robert Rutkowski, Floral Bugs, Jakub Wiech, Marcin Ziopaja, Piotr Dyczek, Korei Północnej, Reagują Na, Filip Taterka, Marek Zmysłowski, Podróże Wojownika, Marcin Modrzewski, Przemek Górczyk, Dawid Fazowski, Tomasz Mazur, Filip Kosior, Jak Rosjanie Reagują, Wygląda Życie, Mateusz Gola, Agnieszka Kozak, Piotr Paja, Korea Północna, Polskiej Agencji, Bartosz Majewski, Wojciech Glac, Jak Naprawdę, Monika Witkowska, Magdalena Socha, Paweł Kozak, Jak Naprawdę Wygląda, Michał Trollsky, Twins Real Estate, Jak Rosjanie, Marcin Majewski, Andrzej Kobyliński, Kamil Zachert, Przemek Górczyk Podcast, Piotr Pająk, Łukasz Bukowiecki, Polskiej Agencji Nieruchomości, Piotr Mosak, Estate Phuket, Michał Pater, Twins Real, Szymon Negacz, Katarzyna Pachniak",ApFFXJpBuZg,PT2H2M24S,https://i.ytimg.com/vi/ApFFXJpBuZg/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-29,08:00,07 Pomysły Na Biznes w Polsce – ft. Bartosz Majewski,"Całość rozmowy oglądaj tutaj: https://youtu.be/1jXPw93EDPE
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/4qqXgrVNIwe7uJrnkij3QB
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

Współpraca reklamowa z #RevolutBusiness.#startup #biznes #interesy",,shorts,6032,49,0,0,hd,false,False,27,"Bartosz Majewski, Pomysły Na Biznes, Pomysły Na",BftrFcTwhbI,PT43S,https://i.ytimg.com/vi/BftrFcTwhbI/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-28,17:00,01 Jak Naprawdę Wygląda Korea Północna? – ft. Piotr Pająk (premiera we wtorek o 19:00),"Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/

Wejdź na https://hecato.pl i zobacz, co dla Ciebie przygotowaliśmy.
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

#podróże #Tajlandia #mma 

YouTube Gościa: @PodróżeWojownika",,shorts,19326,198,4,0,hd,false,True,27,"Jak Naprawdę, Jak Naprawdę Wygląda, Wygląda Korea, Piotr Pająk",3CTD0F-A2t4,PT49S,https://i.ytimg.com/vi/3CTD0F-A2t4/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-28,09:01,06 Czy To Dlatego Trump Wygrał Wybory? – ft. Bartosz Majewski,"Całość rozmowy oglądaj tutaj: https://youtu.be/1jXPw93EDPE
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/4qqXgrVNIwe7uJrnkij3QB
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

Współpraca reklamowa z #RevolutBusiness.#startup #biznes #interesy",,shorts,6103,49,1,0,hd,false,True,27,"Bartosz Majewski, Czy To, Wygrał Wybory, Dlatego Trump, Trump Wygrał Wybory, Czy To Dlatego",sOMilcfJLXM,PT47S,https://i.ytimg.com/vi/sOMilcfJLXM/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-28,08:03,05 Moja Rada Dla Młodych Ludzi – ft. Bartosz Majewski,"Całość rozmowy oglądaj tutaj: https://youtu.be/1jXPw93EDPE
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/4qqXgrVNIwe7uJrnkij3QB
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

Współpraca reklamowa z #RevolutBusiness.#startup #biznes #interesy",,shorts,7387,80,2,0,hd,false,True,27,"Bartosz Majewski, Moja Rada, Dla Młodych, Moja Rada Dla",mr0GsH9GoaQ,PT28S,https://i.ytimg.com/vi/mr0GsH9GoaQ/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-27,18:30,04 Dlaczego YouTuberzy Będą Zarabiać Więcej Pieniędzy? – ft. Bartosz Majewski,"Całość rozmowy oglądaj tutaj: https://youtu.be/1jXPw93EDPE
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/4qqXgrVNIwe7uJrnkij3QB
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

Współpraca reklamowa z #RevolutBusiness.#startup #biznes #interesy",,shorts,16959,120,3,0,hd,false,True,27,"Bartosz Majewski, Będą Zarabiać, Więcej Pieniędzy, Będą Zarabiać Więcej",QXL0xngE2lg,PT49S,https://i.ytimg.com/vi/QXL0xngE2lg/default.jpg
Przemek Górczyk Podcast,UCrKY6A2xsHXgw3MK9mkan5w,2025-07-27,17:45,03 Jak Znaleźć Młodych Ludzi z Talentem? – ft. Bartosz Majewski,"Całość rozmowy oglądaj tutaj: https://youtu.be/1jXPw93EDPE
🎧 Słuchaj na Spotify: https://open.spotify.com/episode/4qqXgrVNIwe7uJrnkij3QB
Dodatkowe materiały tutaj: https://www.instagram.com/przemekgorczyk/
Dołącz do newslettera i zapomnij, że niemdziela wieczur i humor popsuty: https://pgpodcast.pl/news

Współpraca reklamowa z #RevolutBusiness.#startup #biznes #interesy",,shorts,8400,84,0,0,hd,false,True,27,"Bartosz Majewski, Młodych Ludzi, Jak Znaleźć, Jak Znaleźć Młodych",NZth6lyR3ps,PT54S,https://i.ytimg.com/vi/NZth6lyR3ps/default.jpg
